TagBFP,EGFP,Qdot 525,Qdot 565,Qdot 585,Qdot 605,Qdot 655,Qdot 705
0.825908997,0.17048975,0.068956527,0.000502446,0.000301613,1.48533139354015e-05,6.86695947855632e-06,0.000143012
0.097336254,0.409065979,0.371136079,0.018965046,0.003005506,0.000693963,0.000316714,0.001033881
0.043113241,0.203729074,0.416233627,0.068246949,0.003818256,0.000623598,0.000267389,0.000987465
0.021307003,0.138929384,0.126677635,0.624996222,0.120131819,0.032236251,0.01933294,0.018233373
0.009585212,0.051976882,0.016086633,0.274170046,0.695706582,0.452470137,0.007729611,0.00163474
0.002409577,0.016241291,0.000414767,0.008952167,0.159715771,0.491553214,0.208416969,0.026390512
0.000337349,0.008534408,0.00042293,0.004018899,0.016946767,0.021730464,0.731313917,0.374158475
2.36703369658368e-06,0.001033232,7.18020008321783e-05,0.000148224,0.000373686,0.00067752,0.032615592,0.577418543
